S-10B Google 0 0.2346368715083799 S:2, I:2, D:2
S-10B Kaldi 0 0.10614525139664804 S:2, I:2, D:2
S-10B Google 1 0.13240418118466898 S:2, I:2, D:2
S-10B Kaldi 1 0.05226480836236934 S:2, I:2, D:2
S-10B Google 2 0.12084592145015106 S:2, I:2, D:2
S-10B Kaldi 2 0.0513595166163142 S:2, I:2, D:2
S-10B Google 3 0.1174496644295302 S:2, I:2, D:2
S-10B Kaldi 3 0.04697986577181208 S:2, I:2, D:2
S-10B Google 4 0.116331096196868 S:2, I:2, D:2
S-10B Kaldi 4 0.0447427293064877 S:2, I:2, D:2
S-10B Google 5 0.08258928571428571 S:2, I:2, D:2
S-10B Kaldi 5 0.011160714285714286 S:2, I:2, D:2
S-10B Google 6 0.13414634146341464 S:2, I:2, D:2
S-10B Kaldi 6 0.07926829268292683 S:2, I:2, D:2
S-10B Google 7 0.06276150627615062 S:2, I:2, D:2
S-10B Kaldi 7 0.07531380753138076 S:2, I:2, D:2
S-10B Google 8 0.08984375 S:2, I:2, D:2
S-10B Kaldi 8 0.0390625 S:2, I:2, D:2

S-11C Google 0 0.16243654822335024 S:3, I:3, D:4
S-11C Kaldi 0 0.02030456852791878 S:2, I:2, D:2
S-11C Google 1 0.29559748427672955 S:7, I:4, D:7
S-11C Kaldi 1 0.05660377358490566 S:2, I:2, D:2
S-11C Google 2 0.11497326203208556 S:2, I:2, D:2
S-11C Kaldi 2 0.0427807486631016 S:2, I:2, D:2
S-11C Google 3 0.17258883248730963 S:2, I:2, D:2
S-11C Kaldi 3 0.06598984771573604 S:2, I:2, D:2
S-11C Google 4 0.0944055944055944 S:2, I:2, D:2
S-11C Kaldi 4 0.03671328671328671 S:2, I:2, D:2
S-11C Google 5 0.09883720930232558 S:2, I:2, D:2
S-11C Kaldi 5 0.025193798449612403 S:2, I:2, D:2
S-11C Google 6 0.11848341232227488 S:2, I:2, D:2
S-11C Kaldi 6 0.037914691943127965 S:2, I:2, D:2
S-11C Google 7 0.1124031007751938 S:2, I:2, D:2
S-11C Kaldi 7 0.050387596899224806 S:2, I:2, D:2
S-11C Google 8 0.11428571428571428 S:3, I:3, D:3
S-11C Kaldi 8 0.009523809523809525 S:2, I:2, D:2

S-12D Google 0 0.3114754098360656 S:2, I:3, D:3
S-12D Kaldi 0 0.10655737704918032 S:2, I:2, D:2
S-12D Google 1 0.3333333333333333 S:2, I:2, D:2
S-12D Kaldi 1 0.09433962264150944 S:2, I:2, D:2
S-12D Google 2 0.23863636363636365 S:4, I:4, D:2
S-12D Kaldi 2 0.10227272727272728 S:2, I:2, D:2
S-12D Google 3 0.27472527472527475 S:2, I:2, D:2
S-12D Kaldi 3 0.13186813186813187 S:2, I:2, D:2
S-12D Google 4 0.22282608695652173 S:2, I:2, D:2
S-12D Kaldi 4 0.08152173913043478 S:2, I:2, D:2
S-12D Google 5 0.3227848101265823 S:3, I:3, D:3
S-12D Kaldi 5 0.13924050632911392 S:2, I:2, D:2

S-14B Google 0 0.24127906976744187 S:2, I:2, D:2
S-14B Kaldi 0 0.05232558139534884 S:2, I:2, D:2
